n_fila,oficio,identificador,titulo,emisor,receptor,fecha,url_documento,clave_unica
1,,2023-99-53-1,Carta de envío texto radiodifusión,Conexión Kimal Lo Aguirre S.A,,23/10/2023 16:51:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160241368,2023-99-53-1|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160241368
2,,2023-99-53-2,Extracto,Conexión Kimal Lo Aguirre S.A,,23/10/2023 16:51:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160241369,2023-99-53-2|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160241369
3,,2023-99-53-3,Estudio de impacto ambiental,Conexión Kimal Lo Aguirre S.A,Servicio de Evaluación Ambiental Dirección Ejecutiva,23/10/2023 16:51:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160211385,2023-99-53-3|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160211385
4,20239900150,2023-99-53-4,Resolución de Admisibilidad,Servicio de Evaluación Ambiental Dirección Ejecutiva,,31/10/2023 13:14:34,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160394526,2023-99-53-4|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160394526
5,,2023-99-53-5,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,Sebastián Fernández Cox,31/10/2023 14:50:42,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160401959,2023-99-53-5|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160401959
6,202399102870,2023-99-53-6,Solicitud de evaluación de EIA,Servicio de Evaluación Ambiental Dirección Ejecutiva,118 destinatarios,31/10/2023 16:24:43,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160403807,2023-99-53-6|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160403807
7,202399102871,2023-99-53-7,Solicitud de evaluación de EIA a gobierno regional,Servicio de Evaluación Ambiental Dirección Ejecutiva,6 destinatarios,31/10/2023 17:06:59,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160405580,2023-99-53-7|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160405580
8,202399102872,2023-99-53-8,Solicitud de evaluación de EIA a municipalidad,Servicio de Evaluación Ambiental Dirección Ejecutiva,37 destinatarios,31/10/2023 17:07:22,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160405618,2023-99-53-8|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160405618
9,202399103643,2023-99-53-9,Carta de visación del texto para difusión,Servicio de Evaluación Ambiental Dirección Ejecutiva,,31/10/2023 18:47:13,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160395150,2023-99-53-9|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160395150
10,2023990034,2023-99-53-10,Carta visación de extracto,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,31/10/2023 18:49:12,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160395149,2023-99-53-10|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160395149
11,,2023-99-53-11,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,2 destinatarios,31/10/2023 18:51:44,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160411850,2023-99-53-11|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160411850
12,,2023-99-53-12,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,Sebastián Fernández Cox,31/10/2023 18:53:07,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160411856,2023-99-53-12|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160411856
13,2411,2023-99-53-13,Oficio no participación en la evaluación,"SERNAGEOMIN, Zona Central",Servicio de Evaluación Ambiental Dirección Ejecutiva,02/11/2023 16:09:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160420503,2023-99-53-13|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160420503
14,861,2023-99-53-14,Oficio no participación en la evaluación,"SEREMI Medio Ambiente, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,03/11/2023 14:46:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160434642,2023-99-53-14|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160434642
15,,2023-99-53-15,Invitación a reunión,Servicio de Evaluación Ambiental Dirección Ejecutiva,158 destinatarios,06/11/2023 12:53:09,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160444580,2023-99-53-15|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160444580
16,202399103649,2023-99-53-16,Invitación a reunión solo titular,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,06/11/2023 14:34:41,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160434797,2023-99-53-16|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160434797
17,401,2023-99-53-17,Oficio no participación en la evaluación,"DGA, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,07/11/2023 10:57:19,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160456260,2023-99-53-17|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160456260
18,0601 (PROCESO N° 17508791),2023-99-53-18,Oficio no participación en la evaluación,"DOH, Región de Antofagasta",5 destinatarios,07/11/2023 16:25:49,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160461310,2023-99-53-18|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160461310
19,1547,2023-99-53-19,Oficio no participación en la evaluación,"SAG, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,07/11/2023 16:34:34,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160461483,2023-99-53-19|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160461483
20,3033,2023-99-53-20,Oficio no participación en la evaluación,"Servicio Agrícola y Ganadero, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,07/11/2023 17:27:43,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160447894,2023-99-53-20|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160447894
